team,season,head_coach,years_at_school,career_win_pct,program_win_pct,player_dev_score,coach_value_score,off_epa,def_epa,net_epa,success_rate,explosiveness,ppa,plays,nfl_players_active,nfl_players_total,nfl_draft_last5,nfl_value_score,nfl_starters,avg_nfl_rating,talent_composite,blue_chip_ratio,stars_5,stars_4,stars_3,transfers_in,transfers_out,avg_rating,ap_rank,coaches_rank,weeks_ranked,weeks_top10,final_rank,rank_value_score,avg_viewers,peak_viewers,prime_time_games,network_exposure,tv_value_score,conference,wins_vs_power5,losses_vs_power5,wins_vs_group5,losses_vs_group5,avg_margin_power5,avg_margin_group5,interconf_value_score,epa_target_agg,recruiting_target_agg,nfl_target_agg,tv_rating_target_agg,top25_target_agg,coaching_target_agg,interconference_target_agg,conference_strength_score
Georgia,2023,Kirby Smart,8,0.81,0.85,0.92,97,0.28,-0.18,0.46,0.52,1.35,0.32,910,48,72,39,96,22,0.91,990,0.83,15,48,22,4,3,0.945,1.0,1.0,15,12,1.0,98,7.2,12.5,6,0.92,95,SEC,28.0,12.0,34.0,4.0,7.2,12.5,96.0,0.3866666666666667,0.9333333333333332,2.69,6.566666666666666,38.0,95.33333333333333,96.0,19.496166666666667
Michigan,2023,Jim Harbaugh,9,0.72,0.78,0.88,94,0.18,-0.2,0.38,0.53,1.28,0.3,870,35,55,28,85,15,0.87,900,0.68,8,34,35,4,3,0.91,2.0,2.0,15,11,2.0,96,6.5,10.9,5,0.87,90,Big Ten,25.0,14.0,30.0,6.0,6.8,11.9,93.0,0.39,0.9239999999999999,1.76,6.6,29.0,93.5,93.0,18.125799999999998
Alabama,2023,Nick Saban,17,0.79,0.83,0.95,98,0.22,-0.14,0.36,0.5,1.3,0.31,880,45,70,37,94,20,0.9,978,0.81,14,45,25,5,4,0.94,4.0,3.0,14,9,4.0,93,6.9,11.8,6,0.9,93,SEC,28.0,12.0,34.0,4.0,7.2,12.5,96.0,0.3866666666666667,0.9333333333333332,2.69,6.566666666666666,38.0,95.33333333333333,96.0,19.496166666666667
Ohio State,2023,Ryan Day,5,0.75,0.8,0.87,93,0.24,-0.16,0.4,0.51,1.32,0.31,895,42,65,34,92,18,0.89,965,0.79,13,44,26,3,2,0.938,3.0,4.0,14,10,3.0,94,6.7,11.2,5,0.88,91,Big Ten,25.0,14.0,30.0,6.0,6.8,11.9,93.0,0.39,0.9239999999999999,1.76,6.6,29.0,93.5,93.0,18.125799999999998
Texas,2023,Steve Sarkisian,3,0.62,0.7,0.82,88,0.23,-0.12,0.35,0.49,1.29,0.3,875,30,50,25,82,14,0.86,930,0.72,10,38,30,6,5,0.92,6.0,6.0,12,7,6.0,89,5.8,9.7,4,0.84,87,Big 12,20.0,18.0,26.0,10.0,5.5,9.8,87.0,0.35,0.92,0.86,5.8,12.0,88.0,87.0,15.348000000000003
Florida State,2023,Mike Norvell,4,0.65,0.72,0.84,89,0.2,-0.1,0.3,0.48,1.25,0.29,860,26,45,22,78,12,0.84,860,0.63,6,30,40,9,8,0.9,5.0,5.0,13,8,5.0,90,4.7,7.9,3,0.78,80,,,,,,,,,,,,,,,,
Oregon,2023,Dan Lanning,2,0.68,0.74,0.83,87,0.27,-0.11,0.38,0.5,1.34,0.31,890,28,48,23,80,13,0.85,880,0.65,7,32,37,8,7,0.905,8.0,7.0,11,6,8.0,87,4.9,8.2,3,0.8,82,Pac-12,18.0,20.0,24.0,12.0,4.9,9.2,85.0,0.36,0.9,1.68,4.7,22.0,88.5,85.0,16.31
Washington,2023,Kalen DeBoer,2,0.7,0.76,0.85,90,0.25,-0.09,0.34,0.47,1.31,0.29,880,24,42,20,76,11,0.83,845,0.6,5,28,42,6,5,0.895,7.0,8.0,11,6,7.0,88,4.5,7.5,3,0.77,79,Pac-12,18.0,20.0,24.0,12.0,4.9,9.2,85.0,0.36,0.9,1.68,4.7,22.0,88.5,85.0,16.31
LSU,2023,Brian Kelly,2,0.73,0.77,0.86,91,0.26,-0.08,0.34,0.49,1.33,0.3,900,38,60,31,88,17,0.88,915,0.7,9,36,32,7,6,0.915,12.0,11.0,9,4,11.0,84,5.6,9.5,4,0.83,86,SEC,28.0,12.0,34.0,4.0,7.2,12.5,96.0,0.3866666666666667,0.9333333333333332,2.69,6.566666666666666,38.0,95.33333333333333,96.0,19.496166666666667
Georgia Tech,2023,Brent Key,1,0.55,0.6,0.75,80,0.12,-0.05,0.17,0.46,1.21,0.28,820,18,30,12,68,7,0.8,780,0.52,3,22,48,10,9,0.88,,,0,0,,70,3.1,5.2,1,0.65,70,,,,,,,,,,,,,,,,
