team,season,head_coach,years_at_school,career_win_pct,program_win_pct,player_dev_score,coach_value_score
Georgia,2023,Kirby Smart,8,0.81,0.85,0.92,97
Michigan,2023,Jim Harbaugh,9,0.72,0.78,0.88,94
Alabama,2023,Nick Saban,17,0.79,0.83,0.95,98
Ohio State,2023,Ryan Day,5,0.75,0.8,0.87,93
Texas,2023,Steve Sarkisian,3,0.62,0.7,0.82,88
Florida State,2023,Mike Norvell,4,0.65,0.72,0.84,89
Oregon,2023,Dan Lanning,2,0.68,0.74,0.83,87
Washington,2023,Kalen DeBoer,2,0.7,0.76,0.85,90
LSU,2023,Brian Kelly,2,0.73,0.77,0.86,91
Georgia Tech,2023,Brent Key,1,0.55,0.6,0.75,80
