team,season,talent_composite,blue_chip_ratio,stars_5,stars_4,stars_3,transfers_in,transfers_out,avg_rating,roster_value,nfl_projection,position_value
Georgia,2023,990,0.83,15,48,22,4,3,0.945,0.92,0.88,0.9
Alabama,2023,978,0.81,14,45,25,5,4,0.94,0.91,0.87,0.89
Ohio State,2023,965,0.79,13,44,26,3,2,0.938,0.9,0.86,0.88
Texas,2023,930,0.72,10,38,30,6,5,0.92,0.88,0.84,0.85
LSU,2023,915,0.7,9,36,32,7,6,0.915,0.87,0.83,0.84
Michigan,2023,900,0.68,8,34,35,4,3,0.91,0.86,0.82,0.83
Oregon,2023,880,0.65,7,32,37,8,7,0.905,0.85,0.81,0.82
Florida State,2023,860,0.63,6,30,40,9,8,0.9,0.84,0.8,0.81
Washington,2023,845,0.6,5,28,42,6,5,0.895,0.83,0.79,0.8
Georgia Tech,2023,780,0.52,3,22,48,10,9,0.88,0.78,0.74,0.75
