team,season,off_epa,def_epa,net_epa,success_rate,explosiveness,ppa,plays
Georgia Tech,2023,0.12,-0.05,0.17,0.46,1.21,0.28,820
Georgia,2023,0.28,-0.18,0.46,0.52,1.35,0.32,910
Alabama,2023,0.22,-0.14,0.36,0.50,1.30,0.31,880
Florida State,2023,0.20,-0.10,0.30,0.48,1.25,0.29,860
LSU,2023,0.26,-0.08,0.34,0.49,1.33,0.30,900
Ohio State,2023,0.24,-0.16,0.40,0.51,1.32,0.31,895
Michigan,2023,0.18,-0.20,0.38,0.53,1.28,0.30,870
Texas,2023,0.23,-0.12,0.35,0.49,1.29,0.30,875
Oregon,2023,0.27,-0.11,0.38,0.50,1.34,0.31,890
Washington,2023,0.25,-0.09,0.34,0.47,1.31,0.29,880
