team,season,avg_viewers,peak_viewers,prime_time_games,network_exposure,tv_value_score,market_size,network_importance
Georgia,2023,7.2,12.5,6,0.92,95,0.85,0.92
Alabama,2023,6.9,11.8,6,0.90,93,0.84,0.91
Ohio State,2023,6.7,11.2,5,0.88,91,0.83,0.90
Michigan,2023,6.5,10.9,5,0.87,90,0.80,0.87
Texas,2023,5.8,9.7,4,0.84,87,0.82,0.89
LSU,2023,5.6,9.5,4,0.83,86,0.81,0.88
Oregon,2023,4.9,8.2,3,0.80,82,0.79,0.86
Florida State,2023,4.7,7.9,3,0.78,80,0.78,0.85
Washington,2023,4.5,7.5,3,0.77,79,0.77,0.84
Georgia Tech,2023,3.1,5.2,1,0.65,70,0.70,0.78
